the_geom,cartodb_id,codigo_accidente,fecha_ocurrencia,hora_ocurrencia,gravedad,objectid,localidad,municipio,x,y,timedate,clase
0101000020E61000004987B769348452C04730B2BD46ED1240,1890,4396583,2014-10-29,14:10:00,SOLO DANOS,4396583,SUBA,BOGOTA,-74.06569903,4.731715168,2014-10-29 14:10:00+00,CHOQUE
0101000020E6100000567ECDFD0B8652C09BDAB47AD0F31240,2624,4400682,2014-12-27,18:00:00,CON HERIDOS,4400682,SUBA,BOGOTA,-74.0944819,4.738099973,2014-12-27 18:00:00+00,CHOQUE
0101000020E61000008A1C6943DA8752C04EE60B99ACFB1240,3421,4397542,2014-11-09,23:00:00,SOLO DANOS,4397542,SUBA,BOGOTA,-74.12269674,4.745775596,2014-11-09 23:00:00+00,CHOQUE
0101000020E61000002CD6543CAC8652C05076478706821240,3662,511084,2014-09-26,7:30:00,SOLO DANOS,4389169,PUENTE ARANDA,BOGOTA,-74.10426243,4.626978029,2014-09-26 07:30:00+00,CHOQUE
0101000020E610000036B95C20888452C0971055F37AD81240,3910,4399805,2014-11-28,21:00:00,SOLO DANOS,4399805,SUBA,BOGOTA,-74.0708085,4.711406519,2014-11-28 21:00:00+00,CHOQUE
0101000020E61000001807C20E768352C03F86E21CE2DC1240,4518,509828,2014-09-14,15:50:00,SOLO DANOS,4367649,SUBA,BOGOTA,-74.05408067,4.715706302,2014-09-14 15:50:00+00,CHOQUE
0101000020E6100000A29FBDBB548352C02467C1C167E01240,4701,499380,2014-05-26,9:46:00,SOLO DANOS,4175441,SUBA,BOGOTA,-74.05204671,4.719145801,2014-05-26 09:46:00+00,CHOQUE
0101000020E6100000EA4AD671948452C08E4033BD01D61240,4885,497050,2014-05-03,13:25:00,SOLO DANOS,4135857,SUBA,BOGOTA,-74.07156034,4.708991009,2014-05-03 13:25:00+00,CHOQUE
0101000020E6100000C81C1549C58452C029AF4EFBD1E91240,6296,4399407,2014-11-25,10:50:00,SOLO DANOS,4399407,SUBA,BOGOTA,-74.07454135,4.728340079,2014-11-25 10:50:00+00,CHOQUE
0101000020E61000008CEFC3F5538452C0634EF3359BCE1240,7390,501969,2014-06-23,9:30:00,SOLO DANOS,4220129,SUBA,BOGOTA,-74.06762451,4.701763957,2014-06-23 09:30:00+00,CHOQUE
0101000020E6100000E955112CD68852C0E6A4411BCA801240,7510,499377,2014-05-25,16:00:00,SOLO DANOS,4175393,KENNEDY,BOGOTA,-74.13807203,4.625770975,2014-05-25 16:00:00+00,CHOQUE
0101000020E6100000C9B5521C288452C0C64F2F6D42FA1240,7820,495568,2014-04-15,19:30:00,SOLO DANOS,4112001,SUBA,BOGOTA,-74.06494816,4.744394022,2014-04-15 19:30:00+00,CHOQUE
0101000020E61000009A7169E8BE8452C05254F69002EF1240,8736,507895,2014-08-27,8:30:00,SOLO DANOS,4332049,SUBA,BOGOTA,-74.07415209,4.733408227,2014-08-27 08:30:00+00,CHOQUE
0101000020E610000085124214278352C015143956BFCE1240,9402,493439,2014-03-27,22:45:00,CON HERIDOS,4077009,USAQUEN,BOGOTA,-74.0492602,4.701901767,2014-03-27 22:45:00+00,ATROPELLO
0101000020E610000017A7BF36D98452C0B1EB446D0EDE1240,9535,486601,2014-01-15,16:30:00,SOLO DANOS,3959745,SUBA,BOGOTA,-74.07575768,4.716851909,2014-01-15 16:30:00+00,CHOQUE
0101000020E61000008132FD7A548352C09EF213C7B4DC1240,9646,488902,2014-02-08,10:20:00,SOLO DANOS,4000145,USAQUEN,BOGOTA,-74.05203128,4.715533362,2014-02-08 10:20:00+00,CHOQUE
0101000020E610000071BE5242228752C0F190DB8F11871240,1,512403,2014-10-01,13:40:00,SOLO DANOS,512403,PUENTE ARANDA,BOGOTA,-74.11146601,4.631902931,2014-10-01 13:40:00+00,CHOQUE
0101000020E6100000710FFD6BDD8852C0441E2B7234411240,2,512408,2014-10-02,16:30:00,SOLO DANOS,512408,TUNJUELITO,BOGOTA,-74.13851452,4.563676628,2014-10-02 16:30:00+00,CHOQUE
0101000020E610000075E969049E8252C03B9F0E1F69C01240,3,512440,2014-10-15,15:50:00,CON HERIDOS,512440,USAQUEN,BOGOTA,-74.04089461,4.687901006,2014-10-15 15:50:00+00,CHOQUE
0101000020E61000008472D806198952C0D1550EBB5C631240,4,512446,2014-10-15,11:50:00,CON HERIDOS,512446,KENNEDY,BOGOTA,-74.14215251,4.597033427,2014-10-15 11:50:00+00,ATROPELLO
0101000020E610000073DB81E4248952C010E0D11FCA9C1240,5,512452,2014-10-16,6:30:00,CON HERIDOS,512452,KENNEDY,BOGOTA,-74.14287675,4.653114793,2014-10-16 06:30:00+00,ATROPELLO
0101000020E6100000BC733A26118952C04F62243C20DB1240,6,512457,2014-10-15,13:40:00,CON HERIDOS,512457,ENGATIVA,BOGOTA,-74.14167171,4.713990154,2014-10-15 13:40:00+00,ATROPELLO
0101000020E6100000ED3AC8A9058552C031362624CFCC1240,7,512511,2014-10-17,14:05:00,CON HERIDOS,512511,SUBA,BOGOTA,-74.07847066,4.700008931,2014-10-17 14:05:00+00,ATROPELLO
0101000020E610000040E4F5ACA08552C01E99E11B17671240,8,511971,2014-10-03,12:30:00,CON HERIDOS,511971,LOS MARTIRES,BOGOTA,-74.08793186,4.600674091,2014-10-03 12:30:00+00,ATROPELLO
0101000020E6100000EC6D1C794C8A52C0FE3D3E42498E1240,9,511983,2014-10-03,13:10:00,CON HERIDOS,511983,KENNEDY,BOGOTA,-74.16091755,4.638951335,2014-10-03 13:10:00+00,ATROPELLO
0101000020E6100000324C2E45608652C035F51AB88C6A1240,10,512509,2014-10-16,17:20:00,CON HERIDOS,512509,LOS MARTIRES,BOGOTA,-74.09962587,4.604052426,2014-10-16 17:20:00+00,OTRO
0101000020E610000076C3289B818952C0E078FF9EA66A1240,11,512512,2014-10-09,22:10:00,CON HERIDOS,512512,KENNEDY,BOGOTA,-74.14853553,4.604151234,2014-10-09 22:10:00+00,CHOQUE
0101000020E61000004D7D4EB1528A52C0E2FBAD60C57A1240,12,512514,2014-10-17,23:00:00,CON HERIDOS,512514,KENNEDY,BOGOTA,-74.16129716,4.619893561,2014-10-17 23:00:00+00,ATROPELLO
0101000020E61000008F4A0A5CD98652C0BB825BE1D7501240,13,512664,2014-10-04,21:30:00,SOLO DANOS,512664,RAFAEL URIBE URIBE,BOGOTA,-74.10701657,4.578948518,2014-10-04 21:30:00+00,CHOQUE
0101000020E6100000827C065DCD8352C0CAE2E7875DF61240,14,512689,2014-10-02,7:30:00,SOLO DANOS,512689,SUBA,BOGOTA,-74.05940939,4.740591167,2014-10-02 07:30:00+00,CHOQUE
0101000020E6100000BA36F61A128752C022CC270A78941240,15,512687,2014-10-03,17:00:00,SOLO DANOS,512687,PUENTE ARANDA,BOGOTA,-74.11048006,4.644989165,2014-10-03 17:00:00+00,CHOQUE
0101000020E6100000E825A8DC428952C0E61F5C85BD441240,16,512690,2014-10-04,7:50:00,SOLO DANOS,512690,CIUDAD BOLIVAR,BOGOTA,-74.14470593,4.567129215,2014-10-04 07:50:00+00,CHOQUE
0101000020E6100000988242F8888552C03019C94921AF1240,17,512694,2014-10-04,14:00:00,SOLO DANOS,512694,BARRIOS UNIDOS,BOGOTA,-74.08648497,4.671025422,2014-10-04 14:00:00+00,CHOQUE
0101000020E6100000AE7DF291E38452C05FB5CFB6DC991240,18,512698,2014-10-03,18:30:00,SOLO DANOS,512698,TEUSAQUILLO,BOGOTA,-74.07638978,4.65025602,2014-10-03 18:30:00+00,CHOQUE
0101000020E61000008101FED5F58652C0A443A02DF9D11240,19,512702,2014-10-03,10:30:00,SOLO DANOS,512702,ENGATIVA,BOGOTA,-74.10875463,4.705052102,2014-10-03 10:30:00+00,CHOQUE
0101000020E6100000011AB476AC8652C0A40D1DC1E1B11240,20,512706,2014-10-08,15:30:00,SOLO DANOS,512706,ENGATIVA,BOGOTA,-74.10427635,4.673712747,2014-10-08 15:30:00+00,CHOQUE
0101000020E6100000B0BA7D728E8752C063EA37DEE0AD1240,21,512708,2014-10-11,18:25:00,CON HERIDOS,512708,FONTIBON,BOGOTA,-74.11806929,4.669803116,2014-10-11 18:25:00+00,OTRO
0101000020E610000019FA2F29618552C0FE34F0CE9AC21240,22,512709,2014-10-03,9:00:00,SOLO DANOS,512709,ENGATIVA,BOGOTA,-74.08405523,4.690043672,2014-10-03 09:00:00+00,CHOQUE
0101000020E61000004FFB22AB7F8652C0F16CA87B119B1240,23,512715,2014-10-09,12:40:00,SOLO DANOS,512715,TEUSAQUILLO,BOGOTA,-74.10154227,4.65143388,2014-10-09 12:40:00+00,CHOQUE
0101000020E6100000313032CEAD8452C0754486A14AC11240,24,512719,2014-10-19,18:30:00,CON HERIDOS,512719,SUBA,BOGOTA,-74.07310824,4.688761257,2014-10-19 18:30:00+00,CHOQUE
0101000020E61000003BEE0D1E038452C060833704C4CB1240,25,512726,2014-10-20,7:50:00,CON HERIDOS,512726,SUBA,BOGOTA,-74.06269027,4.698989931,2014-10-20 07:50:00+00,CHOQUE
0101000020E6100000DD1B2A63CF8352C0E1E722326ACC1240,26,512728,2014-10-03,15:00:00,SOLO DANOS,512728,SUBA,BOGOTA,-74.05953292,4.699623855,2014-10-03 15:00:00+00,CHOQUE
0101000020E61000003A3CA5FF7C8C52C0B4EFC48B096C1240,27,512747,2014-10-20,19:30:00,CON HERIDOS,512747,BOSA,BOGOTA,-74.19512931,4.605505165,2014-10-20 19:30:00+00,ATROPELLO
0101000020E61000008309A611A88352C00091CA8980DB1240,28,512754,2014-10-20,18:10:00,CON HERIDOS,512754,SUBA,BOGOTA,-74.05713311,4.714357522,2014-10-20 18:10:00+00,CHOQUE
0101000020E61000009F2D4D35668652C04DE2377B23811240,29,512755,2014-10-04,5:00:00,SOLO DANOS,512755,PUENTE ARANDA,BOGOTA,-74.09998829,4.626111913,2014-10-04 05:00:00+00,CHOQUE
0101000020E61000008E3FC8E7D28252C04A61C747D7ED1240,30,512759,2014-10-09,19:40:00,SOLO DANOS,512759,USAQUEN,BOGOTA,-74.04412264,4.732266542,2014-10-09 19:40:00+00,CHOQUE
