the_geom,cartodb_id,x,y,codid,direccion,localidad,tipointer,disppdm,fechaimplementacion
0101000020E6100000D9C95D3ADC8852C0BA0F33A8F45B1240,181,-74.13844165,4.58980048,1098,TV 44 X CL 50B S,TUNJUELITO,VEHICULAR,SIN,2000-09-09
0101000020E6100000F3BE3B43C28752C042DDC2469B931240,464,-74.12123185,4.64414702,780,KR 69 X CL 17,FONTIBON,"VEHICULAR, PEATONAL",SIN,2006-11-01
0101000020E6100000064699CB958652C0C44B0F75E5D81240,899,-74.10289278,4.71181281,689,TV 94L X CL 86,ENGATIVA,VEHICULAR,SIN,1995-10-17
0101000020E6100000B3414727E28452C00231CF8C768F1240,1,-74.07630331,4.64010067,502,KR 27 X CL 51,TEUSAQUILLO,"VEHICULAR, PEATONAL","BOTON, SONORO",1998-08-05
0101000020E6100000C9B3E454DF8452C04468716B77901240,2,-74.07613108,4.64108055,498,KR 27 X CL 52,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1994-11-15
0101000020E610000014855E5EC48452C0FB61C2E41D8E1240,3,-74.07448539,4.63878591,476,AV COLOMBIA (AK 24) X CL 50,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1998-08-02
0101000020E610000051015BB1C18452C0BEA92F091F8F1240,4,-74.07432207,4.63976683,472,AV COLOMBIA (AK 24) X CL 51,TEUSAQUILLO,VEHICULAR,SIN,1990-07-01
0101000020E6100000831AF830BF8452C0C336C37022901240,5,-74.07416939,4.64075638,467,AV COLOMBIA (AK 24) X CL 52,TEUSAQUILLO,VEHICULAR,SIN,1990-07-01
0101000020E6100000EA057ED8BB8452C0FEA6D18138911240,6,-74.07396519,4.64181712,459,AV COLOMBIA (AK 24) X AV PABLO VI (AC 53),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1983-08-02
0101000020E6100000FDFB08D3A28452C0849A35A1DE8A1240,7,-74.07243801,4.63561489,422,TV 20 X DG 45D,TEUSAQUILLO,VEHICULAR,SIN,1994-05-11
0101000020E6100000996C34679A8452C0C07F37B4338A1240,8,-74.07192402,4.63496286,410,TV 19BIS X DG 45D,TEUSAQUILLO,VEHICULAR,SIN,1994-05-11
0101000020E61000006766244A948452C0C0EA2F05B5891240,9,-74.07155088,4.6344796,402,KR 19 X DG 45D,TEUSAQUILLO,VEHICULAR,SIN,1993-03-28
0101000020E61000000E05E05D768452C00424ACF84C871240,10,-74.06972453,4.63212956,362,KR 16 X DG 44BIS,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1994-11-28
0101000020E610000082C287AF828452C045A2D84445881240,11,-74.07047642,4.63307674,378,AV FRANCISCO MIRANDA (AC 45) X DG 45D,TEUSAQUILLO,VEHICULAR,SIN,1983-06-23
0101000020E6100000D979F365F38452C0BC643909A58F1240,12,-74.07735585,4.640278,514,KR 28 X CL 51,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1998-08-05
0101000020E6100000A5F39816EF8452C04096A50836931240,13,-74.07709279,4.64376081,511,KR 28 X CL 53B,TEUSAQUILLO,VEHICULAR,SIN,1994-11-11
0101000020E61000004F243540EB8452C0C121E4BCFF931240,14,-74.07685857,4.64453025,509,TV 28 X CL 53BBIS,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1994-11-11
0101000020E6100000B18E1D33D48452C005F477E737891240,15,-74.07545164,4.63400232,489,AV COLOMBIA (AK 24) X AV FRANCISCO MIRANDA (AC 45),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1983-06-16
0101000020E6100000D2EC9138B18452C0415E8C79048C1240,16,-74.07331671,4.63673582,447,TV 21 X DG 45D Y CL 45CBIS,TEUSAQUILLO,VEHICULAR,SIN,1993-12-03
0101000020E610000071279F1E9B8452C03F86BF2EDC901240,17,-74.07196775,4.64146493,409,KR 21 X AV PABLO VI (AC 53),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1983-06-22
0101000020E6100000D353AC66928452C040D55526A18F1240,18,-74.07143561,4.640263175,397,KR 20 X CL 52,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,2004-10-29
0101000020E6100000CA19692D758452C07EF82A014A8E1240,19,-74.06965194,4.63895418,360,KR 17 X CL 51,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1997-03-30
0101000020E610000021D0CC38728452C0845DE4B74B8F1240,20,-74.06947155,4.63993728,355,KR 17 X CL 52,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,2004-04-30
0101000020E610000019C4004F7B8452C000D38D0B628F1240,21,-74.07002616,4.64002245,369,KR 18 X CL 52,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,2000-07-16
0101000020E610000041005028788452C03CC808A870901240,22,-74.06983383,4.64105475,364,KR 18 X AV PABLO VI (AC 53),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1982-12-14
0101000020E61000004E8E4CD1DB8452C0C4B41CC793911240,23,-74.0759166,4.64216529,496,KR 27 X AV PABLO VI (AC 53),TEUSAQUILLO,VEHICULAR,SIN,1994-11-15
0101000020E6100000D2025183EB8652C03DA01DEC24411240,24,-74.10812457,4.56361741,1422,AV DARIO ECHANDIA (KR 10) X CL 43 S,RAFAEL URIBE,"VEHICULAR, PEATONAL",SIN,2015-03-19
0101000020E61000008EEF0713F18952C0456EAD27A1AD1240,25,-74.15533901,4.66956007,1381,KR 104 X DG 15A,FONTIBON,"VEHICULAR, PEATONAL","BOTON, SONORO",2015-02-03
0101000020E6100000AA0194D0A78452C081000AC3BA8C1240,26,-74.0727426,4.63743119,431,KR 21 X CL 49,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1998-06-28
0101000020E6100000F954DCB8858452C0C3244D51688C1240,27,-74.07066175,4.63711669,382,KR 18 X CL 49,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1998-06-29
0101000020E61000005337FEE17A8452C07DE025FE498C1240,28,-74.07000017,4.63700101,368,KR 17 X CL 49,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1998-06-29
0101000020E6100000C9ED67A9A38452C07F0D2095C58D1240,29,-74.07248912,4.63844903,425,KR 21 X CL 50,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1998-06-10
0101000020E6100000D1ADD7F4A08452C0C0E2086BC68E1240,30,-74.072324,4.63942878,420,KR 21 X CL 51,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1998-06-10
0101000020E6100000FB50E38A9D8452C07BA40F65C18F1240,31,-74.07211563,4.64038618,414,KR 21 X CL 52,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,2000-08-11
0101000020E6100000FA73B8F3908452C03B53B6A393941240,32,-74.07134717,4.64509445,395,KR 21 X AV GILBERTO ALZATE AVENDANO (AC 57),TEUSAQUILLO,VEHICULAR,SIN,1983-06-26
0101000020E61000007D35EE6A858452C0C001056A73941240,33,-74.07064317,4.64497152,381,KR 20 X AV GILBERTO ALZATE AVENDANO (AC 57),TEUSAQUILLO,VEHICULAR,SIN,1994-11-16
0101000020E61000001A564C00998452C045DA71E4FD971240,34,-74.07183845,4.64842946,406,TV 22A X DG 61B,TEUSAQUILLO,VEHICULAR,SIN,1983-06-22
